"","long","lat","rich"
"355",-47.5949778660649,-14.5682851991761,142
"356",-46.0850314528871,-14.5682851991761,144
"357",-44.5750850397093,-14.5682851991761,142
"358",-43.0651386265315,-14.5682851991761,135
"359",-41.5551922133536,-14.5682851991761,147
"360",-40.0452458001758,-14.5682851991761,147
"361",-75.5289865098547,-13.2606332470109,62
"362",-74.0190400966768,-13.2606332470109,81
"363",-72.509093683499,-13.2606332470109,162
"364",-70.9991472703212,-13.2606332470109,239
"365",-69.4892008571434,-13.2606332470109,221
"366",-67.9792544439655,-13.2606332470109,182
"367",-66.4693080307877,-13.2606332470109,173
"368",-64.9593616176099,-13.2606332470109,174
"369",-63.4494152044321,-13.2606332470109,169
"370",-61.9394687912542,-13.2606332470109,167
"371",-60.4295223780764,-13.2606332470109,160
"372",-58.9195759648986,-13.2606332470109,145
"373",-57.4096295517208,-13.2606332470109,134
"374",-55.899683138543,-13.2606332470109,131
"375",-54.3897367253651,-13.2606332470109,130
"376",-52.8797903121873,-13.2606332470109,130
"377",-51.3698438990095,-13.2606332470109,133
"378",-49.8598974858317,-13.2606332470109,135
"379",-48.3499510726538,-13.2606332470109,135
"380",-46.840004659476,-13.2606332470109,138
"381",-45.3300582462982,-13.2606332470109,130
"382",-43.8201118331204,-13.2606332470109,131
"383",-42.3101654199426,-13.2606332470109,128
"384",-40.8002190067647,-13.2606332470109,142
"385",-39.2902725935869,-13.2606332470109,146
"386",-76.2839597164436,-11.9529812948458,74
"387",-74.7740133032657,-11.9529812948458,183
"388",-73.2640668900879,-11.9529812948458,211
"389",-71.7541204769101,-11.9529812948458,226
"390",-70.2441740637323,-11.9529812948458,207
"391",-68.7342276505545,-11.9529812948458,203
"392",-67.2242812373766,-11.9529812948458,180
"393",-65.7143348241988,-11.9529812948458,180
"394",-64.204388411021,-11.9529812948458,169
"395",-62.6944419978432,-11.9529812948458,146
